[DEBUG] 2021-04-04 17:27:44.411 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-04-04 17:27:44.421 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-04-04 17:27:44.443 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-04-04 17:27:44.674 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-04-04 17:27:44.685 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-04-04 17:27:45.256 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-04-04 17:27:45.257 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-04-04 17:27:45.272 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-04-04 17:27:45.868 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-04-04 17:27:45.897 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-04-04 17:27:45.898 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[DEBUG] 2021-04-04 17:27:48.688 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@6a48a7f3
[DEBUG] 2021-04-04 17:27:48.688 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@6a48a7f3
[DEBUG] 2021-04-04 17:27:48.688 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@6c806c8b
[DEBUG] 2021-04-04 17:27:48.688 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@6c806c8b
[DEBUG] 2021-04-04 17:27:48.688 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@6c806c8b
[DEBUG] 2021-04-04 17:27:48.688 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@46d63dbb
[DEBUG] 2021-04-04 17:27:48.689 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@46d63dbb
[DEBUG] 2021-04-04 17:27:48.689 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@23592946
[DEBUG] 2021-04-04 17:27:48.689 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@23592946
[DEBUG] 2021-04-04 17:27:48.689 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@702c436b
[DEBUG] 2021-04-04 17:27:48.690 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@702c436b
[DEBUG] 2021-04-04 17:27:48.690 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@31d6f3fe
[DEBUG] 2021-04-04 17:27:48.690 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@31ff6309
[DEBUG] 2021-04-04 17:27:48.690 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@4dc8c0ea
[DEBUG] 2021-04-04 17:27:48.690 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@4dc8c0ea
[DEBUG] 2021-04-04 17:27:48.690 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@4aedaf61
[DEBUG] 2021-04-04 17:27:48.690 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@4aedaf61
[DEBUG] 2021-04-04 17:27:48.690 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@782bf610
[DEBUG] 2021-04-04 17:27:48.692 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@782bf610
[DEBUG] 2021-04-04 17:27:48.692 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@10895b16
[DEBUG] 2021-04-04 17:27:48.692 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@10895b16
[DEBUG] 2021-04-04 17:27:48.692 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@3b9632d1
[DEBUG] 2021-04-04 17:27:48.692 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@3b9632d1
[DEBUG] 2021-04-04 17:27:48.692 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@1846579f
[DEBUG] 2021-04-04 17:27:48.692 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@1846579f
[DEBUG] 2021-04-04 17:27:48.692 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@7be7e15
[DEBUG] 2021-04-04 17:27:48.692 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@7be7e15
[DEBUG] 2021-04-04 17:27:48.692 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@2330e3e0
[DEBUG] 2021-04-04 17:27:48.693 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@2330e3e0
[DEBUG] 2021-04-04 17:27:48.693 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@3f9270ed
[DEBUG] 2021-04-04 17:27:48.693 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@3f9270ed
[DEBUG] 2021-04-04 17:27:48.693 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@4d654825
[DEBUG] 2021-04-04 17:27:48.693 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@4d654825
[DEBUG] 2021-04-04 17:27:48.693 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@3964d79
[DEBUG] 2021-04-04 17:27:48.693 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@3964d79
[DEBUG] 2021-04-04 17:27:48.693 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@7be3a9ce
[DEBUG] 2021-04-04 17:27:48.693 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@7be3a9ce
[DEBUG] 2021-04-04 17:27:48.693 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@7be3a9ce
[DEBUG] 2021-04-04 17:27:48.693 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@4e1459ea
[DEBUG] 2021-04-04 17:27:48.694 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@642505c7
[DEBUG] 2021-04-04 17:27:48.694 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@642505c7
[DEBUG] 2021-04-04 17:27:48.694 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@642505c7
[DEBUG] 2021-04-04 17:27:48.694 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@21ac5eb4
[DEBUG] 2021-04-04 17:27:48.694 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@2a685eba
[DEBUG] 2021-04-04 17:27:48.694 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@2a685eba
[DEBUG] 2021-04-04 17:27:48.694 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@77d680e6
[DEBUG] 2021-04-04 17:27:48.694 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@77d680e6
[DEBUG] 2021-04-04 17:27:48.694 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@37b57b54
[DEBUG] 2021-04-04 17:27:48.694 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@37b57b54
[DEBUG] 2021-04-04 17:27:48.694 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@5580d62f
[DEBUG] 2021-04-04 17:27:48.694 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@5580d62f
[DEBUG] 2021-04-04 17:27:48.694 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@2c58dcb1
[DEBUG] 2021-04-04 17:27:48.694 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@2c58dcb1
[DEBUG] 2021-04-04 17:27:48.694 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@2dd8239
[DEBUG] 2021-04-04 17:27:48.695 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@cf67838
[DEBUG] 2021-04-04 17:27:48.695 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@cf67838
[DEBUG] 2021-04-04 17:27:48.695 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@cf67838
[DEBUG] 2021-04-04 17:27:48.695 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@499ef98e
[DEBUG] 2021-04-04 17:27:48.695 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@499ef98e
[DEBUG] 2021-04-04 17:27:48.695 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@499ef98e
[DEBUG] 2021-04-04 17:27:48.695 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@639aba11
[DEBUG] 2021-04-04 17:27:48.695 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@6e33fcae
[DEBUG] 2021-04-04 17:27:48.695 [main] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@27e5b378
[DEBUG] 2021-04-04 17:27:48.695 [main] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@27e5b378
[DEBUG] 2021-04-04 17:27:48.695 [main] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@27e5b378
[DEBUG] 2021-04-04 17:27:48.695 [main] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@1a87b51
[DEBUG] 2021-04-04 17:27:48.695 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@1a87b51
[DEBUG] 2021-04-04 17:27:48.695 [main] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@1a87b51
[DEBUG] 2021-04-04 17:27:48.695 [main] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@6ecab872
[DEBUG] 2021-04-04 17:27:48.695 [main] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@2a066689
[DEBUG] 2021-04-04 17:27:48.696 [main] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@7479b626
[DEBUG] 2021-04-04 17:27:48.696 [main] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@7479b626
[DEBUG] 2021-04-04 17:27:48.696 [main] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@3efedc6f
[DEBUG] 2021-04-04 17:27:48.696 [main] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@65f2f9b0
[DEBUG] 2021-04-04 17:27:48.696 [main] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@65f2f9b0
[DEBUG] 2021-04-04 17:27:48.696 [main] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@64968732
[DEBUG] 2021-04-04 17:27:48.696 [main] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@64968732
[DEBUG] 2021-04-04 17:27:48.696 [main] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@4d1f1ff5
[DEBUG] 2021-04-04 17:27:48.696 [main] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@61a1ea2c
[DEBUG] 2021-04-04 17:27:48.696 [main] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@23eff5d1
[DEBUG] 2021-04-04 17:27:48.696 [main] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@168cd36b
[DEBUG] 2021-04-04 17:27:48.696 [main] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@168cd36b
[DEBUG] 2021-04-04 17:27:48.696 [main] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@a6c54c3
[DEBUG] 2021-04-04 17:27:48.696 [main] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@580fd26b
[DEBUG] 2021-04-04 17:27:48.696 [main] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@78fe204a
[DEBUG] 2021-04-04 17:27:48.696 [main] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@1290ed28
[DEBUG] 2021-04-04 17:27:48.696 [main] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@7a3269f5
[DEBUG] 2021-04-04 17:27:48.696 [main] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@5c887052
[DEBUG] 2021-04-04 17:27:48.696 [main] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@55fdf7f9
[DEBUG] 2021-04-04 17:27:48.696 [main] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@4091b9c3
[DEBUG] 2021-04-04 17:27:48.700 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
[DEBUG] 2021-04-04 17:27:48.700 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
[DEBUG] 2021-04-04 17:27:48.700 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2021-04-04 17:27:48.700 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2021-04-04 17:27:48.700 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
[DEBUG] 2021-04-04 17:27:48.700 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
[DEBUG] 2021-04-04 17:27:48.700 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
[DEBUG] 2021-04-04 17:27:48.700 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2021-04-04 17:27:48.702 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
[DEBUG] 2021-04-04 17:27:48.702 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
[DEBUG] 2021-04-04 17:27:48.702 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
[DEBUG] 2021-04-04 17:27:48.702 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
[DEBUG] 2021-04-04 17:27:48.702 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2021-04-04 17:27:48.702 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
[INFO ] 2021-04-04 17:27:48.702 [main] C3P0ConnectionProvider - HHH010002: C3P0 using driver: com.mysql.cj.jdbc.Driver at URL: jdbc:mysql://localhost:3306/test_compendium?serverTimezone=UTC
[INFO ] 2021-04-04 17:27:48.702 [main] C3P0ConnectionProvider - HHH10001001: Connection properties: {password=****, user=root}
[INFO ] 2021-04-04 17:27:48.705 [main] C3P0ConnectionProvider - HHH10001003: Autocommit mode: false
[INFO ] 2021-04-04 17:27:48.767 [main] C3P0ConnectionProvider - HHH10001007: JDBC isolation level: <unknown>
[DEBUG] 2021-04-04 17:27:48.849 [main] JdbcEnvironmentInitiator - Database ->
       name : MySQL
    version : 8.0.22
      major : 8
      minor : 0
[DEBUG] 2021-04-04 17:27:48.849 [main] JdbcEnvironmentInitiator - Driver ->
       name : MySQL Connector/J
    version : mysql-connector-java-8.0.16 (Revision: 34cbc6bc61f72836e26327537a432d6db7c77de6)
      major : 8
      minor : 0
[DEBUG] 2021-04-04 17:27:48.850 [main] JdbcEnvironmentInitiator - JDBC version : 4.2
[INFO ] 2021-04-04 17:27:48.850 [main] Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
[DEBUG] 2021-04-04 17:27:48.850 [main] IdentifierHelperBuilder - JDBC driver metadata reported database stores quoted identifiers in more than one case
[DEBUG] 2021-04-04 17:27:48.850 [main] IdentifierHelperBuilder - IdentifierCaseStrategy for both quoted and unquoted identifiers was set to the same strategy [MIXED]; that will likely lead to problems in schema update and validation if using quoted identifiers
[DEBUG] 2021-04-04 17:27:48.870 [main] Namespace - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
[DEBUG] 2021-04-04 17:27:48.871 [main] TypeConfiguration$Scope - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@7b1e5e55] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@4c1d59cd]
[DEBUG] 2021-04-04 17:27:48.871 [main] AnnotationBinder - Binding entity from annotated class: ogedengbe.tosan.model.UserTest
[DEBUG] 2021-04-04 17:27:48.871 [main] Ejb3Column - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
[DEBUG] 2021-04-04 17:27:48.871 [main] EntityBinder - Import with entity name User
[DEBUG] 2021-04-04 17:27:48.871 [main] EntityBinder - Bind entity ogedengbe.tosan.model.UserTest on table user
[DEBUG] 2021-04-04 17:27:48.885 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=user_id, insertable=true, updatable=true, unique=false}
[DEBUG] 2021-04-04 17:27:48.885 [main] PropertyBinder - MetadataSourceProcessor property userId with lazy=false
[DEBUG] 2021-04-04 17:27:48.885 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [ogedengbe.tosan.model.UserTest:userId]
[DEBUG] 2021-04-04 17:27:48.885 [main] SimpleValueBinder - building SimpleValue for userId
[DEBUG] 2021-04-04 17:27:48.885 [main] PropertyBinder - Building property userId
[DEBUG] 2021-04-04 17:27:48.885 [main] BinderHelper - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(user_id)]), userId, org.hibernate.id.enhanced.SequenceStyleGenerator, native, ...)
[DEBUG] 2021-04-04 17:27:48.886 [main] Ejb3Column - Binding column: Ejb3JoinColumn{logicalColumnName='null', referencedColumn='null', mappedBy='userOne'}
[DEBUG] 2021-04-04 17:27:48.886 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=conceptSet, insertable=true, updatable=true, unique=false}
[DEBUG] 2021-04-04 17:27:48.886 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=null, insertable=true, updatable=true, unique=false}
[DEBUG] 2021-04-04 17:27:48.886 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=element, insertable=true, updatable=true, unique=false}
